First Name;Family Name;Country;Room Type;Days Rented;Season;Price;Id
Liam;Nguyen;China;Spa Executive;1;mid;2577;1
Zhang;Rossi;Mexico;Grand Lit;3;low;3360;2
Carlos;Khan;China;Standard Single;5;high;6420;3
Hiroshi;Kim;Russia;LOFT Suite;2;mid;6922;4
Muhammad;Martinez;Vietnam;Suite;4;mid;12784;5
Lucas;Khan;Australia;Standard Double;10;high;16700;6
Hiroshi;Nguyen;Australia;Suite;1;low;2522;7
Santiago;Schneider;Canada;LOFT Suite;5;low;15995;8
Santiago;Khan;Nigeria;Standard Double;2;low;2530;9
Lucas;Garcia;Spain;Standard Double;9;mid;14400;10
Maria;Rossi;Japan;Grand Lit;4;high;6064;11
Chen;Garcia;Spain;Grand Lit;7;high;12096;12
Maria;Silva;India;Junior Suite;5;mid;10020;13
Sara;Garcia;Italy;Standard Single;6;high;7452;14
Isabella;Johansson;Spain;Spa Executive;3;high;7935;15
Carlos;Garcia;United Kingdom;Standard Single;8;low;7272;16
Carlos;Hassan;Canada;LOFT Suite;6;high;22686;17
Ingrid;Ivanov;Russia;Grand Lit;9;mid;10944;18
Fatima;Nguyen;Vietnam;LOFT Suite;1;low;3151;19
David;Patel;Mexico;Standard Double;2;low;2432;20
Elena;Müller;India;Superior Double;3;low;4389;21
Lucas;Smith;Nigeria;Standard Single;7;high;10087;22
Santiago;Dubois;Egypt;LOFT Suite;2;high;7934;23
John;Nguyen;France;Standard Double;6;low;7734;24
Aisha;Khan;India;Junior Suite;5;low;10915;25
Ingrid;Khan;Italy;Suite;7;high;21315;26
Lucas;Martinez;South Korea;Grand Lit;9;low;9963;27
Olivia;Rossi;Vietnam;LOFT Suite;6;low;19524;28
Aisha;Sato;Pakistan;Standard Double;8;mid;12072;29
Fatima;Martinez;Mexico;Standard Single;8;mid;9272;30
Santiago;Rossi;Brazil;Junior Suite;2;high;4876;31
Aisha;Dubois;Japan;Standard Single;6;low;5526;32
Ingrid;Hassan;India;Suite;8;high;24080;33
Isabella;Johansson;South Korea;Standard Single;7;mid;7441;34
John;Brown;Nigeria;Junior Suite;10;mid;21200;35
Zhang;Brown;Sweden;Spa Executive;1;high;2512;36
Hiroshi;Kim;Sweden;Superior Double;6;low;8790;37
Lucas;Müller;Germany;Superior Double;6;mid;9192;38
Elena;Smith;Canada;Junior Suite;10;low;20510;39
Ingrid;Yamamoto;Spain;Grand Lit;5;mid;6850;40
Zhang;Garcia;India;Junior Suite;5;mid;10115;41
Santiago;Johansson;Spain;Standard Single;10;low;9720;42
Carlos;Nguyen;Japan;Junior Suite;1;high;2498;43
Liam;Sato;Vietnam;Standard Single;4;mid;4832;44
Santiago;Khan;Australia;Spa Executive;4;low;8572;45
David;Johansson;United Kingdom;Superior Double;1;low;1489;46
Hiroshi;Garcia;South Korea;LOFT Suite;10;low;34260;47
Carlos;Kim;Italy;Junior Suite;7;low;15295;48
Fatima;Martinez;Japan;Junior Suite;1;mid;2094;49
Fatima;Brown;China;Junior Suite;8;mid;18184;50
Sophia;Smith;India;Suite;9;mid;26100;51
Olivia;Khan;Pakistan;Grand Lit;2;low;2720;52
Carlos;Müller;India;Superior Double;6;low;8658;53
Isabella;Yamamoto;Pakistan;Spa Executive;3;mid;6636;54
John;Martinez;United Kingdom;Grand Lit;8;mid;10792;55
Zhang;Patel;Mexico;Spa Executive;1;mid;2523;56
Ahmed;Müller;Italy;Suite;6;mid;17934;57
Muhammad;Nguyen;Nigeria;Standard Double;9;mid;13851;58
Ahmed;Garcia;Canada;Junior Suite;8;low;15456;59
Liam;Brown;Spain;Grand Lit;9;high;13275;60
David;Kim;Russia;Grand Lit;1;low;1149;61
John;Johansson;Russia;Grand Lit;1;low;1299;62
Elena;Johansson;Russia;Grand Lit;8;high;12288;63
Elena;Khan;Canada;LOFT Suite;9;low;27918;64
Elena;Silva;Brazil;Grand Lit;7;high;11872;65
Isabella;Martinez;Australia;Superior Double;2;mid;3814;66
Elena;Johansson;Nigeria;Standard Double;1;high;1952;67
Olivia;Silva;Australia;Standard Double;8;mid;12368;68
David;Khan;Nigeria;Superior Double;8;mid;12160;69
Fatima;Rossi;Egypt;Junior Suite;2;mid;4434;70
Fatima;Khan;Sweden;Standard Double;5;low;7315;71
Sophia;Johansson;United States;Suite;3;high;9087;72
Maria;Patel;United States;Standard Double;3;low;4740;73
John;Silva;Sweden;LOFT Suite;2;mid;6532;74
Chen;Schneider;Japan;Standard Double;1;low;1359;75
Lucas;Rossi;Nigeria;Grand Lit;10;mid;14710;76
Sophia;Yamamoto;South Korea;Standard Single;2;low;1824;77
Ingrid;Nguyen;United States;Suite;2;high;6090;78
Aisha;Ivanov;United Kingdom;Suite;5;low;13515;79
Muhammad;Garcia;India;Junior Suite;10;mid;22920;80
Muhammad;Sato;United Kingdom;Standard Single;4;low;3752;81
Sara;Sato;China;Suite;3;high;10317;82
Hiroshi;Hassan;France;Standard Double;5;high;8600;83
Fatima;Garcia;India;Grand Lit;9;high;12816;84
Olivia;Patel;Pakistan;Standard Double;9;low;13689;85
Ingrid;Silva;Mexico;Junior Suite;8;low;15696;86
Aisha;Kim;Canada;Standard Single;4;low;4512;87
Aisha;Johansson;China;LOFT Suite;1;mid;3764;88
Lucas;Smith;Sweden;Standard Single;3;low;3243;89
Isabella;Müller;France;Grand Lit;3;high;4329;90
Santiago;Johansson;Brazil;Junior Suite;9;high;19935;91
Ahmed;Khan;Sweden;Superior Double;1;high;1864;92
Hiroshi;Johansson;China;Suite;9;high;30105;93
Ahmed;Sato;South Korea;Junior Suite;7;high;17143;94
Isabella;Schneider;Vietnam;Standard Single;4;mid;4132;95
Ingrid;Lee;Russia;Suite;10;mid;30490;96
Ingrid;Rossi;Germany;Standard Double;8;mid;10536;97
Zhang;Nguyen;Germany;LOFT Suite;8;high;30480;98
Santiago;Khan;Japan;Grand Lit;8;mid;9808;99
Elena;Sato;China;Suite;7;mid;20356;100
Chen;Dubois;Egypt;Spa Executive;8;low;18480;101
Carlos;Rossi;Russia;Suite;10;high;33910;102
Sara;Müller;Russia;Standard Double;3;mid;4704;103
Lucas;Garcia;Canada;Standard Single;4;high;5248;104
Aisha;Khan;Sweden;Junior Suite;6;high;13236;105
Muhammad;Smith;Vietnam;Suite;3;mid;9393;106
Santiago;Khan;Germany;Standard Single;4;low;3952;107
Ingrid;Smith;United States;Spa Executive;2;high;5090;108
John;Kim;Nigeria;Standard Double;4;high;6732;109
David;Khan;Italy;Superior Double;2;low;2800;110
Maria;Khan;Mexico;Grand Lit;2;high;3216;111
David;Silva;Vietnam;Suite;2;high;6596;112
Lucas;Patel;United States;Suite;6;mid;16254;113
Liam;Martinez;United States;Standard Single;6;low;5928;114
Elena;Olsen;United Kingdom;Junior Suite;1;low;2104;115
Carlos;Müller;China;Standard Double;10;mid;13260;116
Chen;Khan;Japan;Junior Suite;4;low;7536;117
Elena;Kim;India;Standard Single;10;mid;11730;118
Liam;Brown;India;Grand Lit;2;low;2460;119
Liam;Yamamoto;Sweden;Standard Single;7;mid;8554;120
Muhammad;Müller;Spain;Superior Double;7;mid;13447;121
Ahmed;Johansson;Pakistan;Spa Executive;8;mid;20384;122
Fatima;Sato;India;Spa Executive;2;high;5440;123
Zhang;Kim;Mexico;Superior Double;6;low;9864;124
Sophia;Sato;Italy;Superior Double;2;low;3310;125
Liam;Olsen;Spain;Junior Suite;2;mid;4440;126
Ahmed;Yamamoto;Mexico;Superior Double;1;mid;1966;127
Sara;Khan;Vietnam;Standard Single;5;low;5685;128
Isabella;Olsen;Germany;Superior Double;5;mid;9640;129
Elena;Silva;Spain;Junior Suite;2;mid;4118;130
Olivia;Olsen;Pakistan;Junior Suite;3;low;5541;131
David;Brown;France;Spa Executive;5;high;12505;132
Ingrid;Yamamoto;South Korea;Suite;1;high;3068;133
Aisha;Rossi;Japan;Spa Executive;6;mid;13290;134
Fatima;Ivanov;Vietnam;Superior Double;8;high;15416;135
Maria;Lee;China;Superior Double;4;mid;7524;136
Muhammad;Nguyen;United States;Spa Executive;1;high;2606;137
Muhammad;Martinez;United Kingdom;Spa Executive;6;mid;14238;138
Sara;Rossi;Russia;Grand Lit;10;high;14200;139
Sophia;Kim;South Korea;Standard Single;4;high;5304;140
Aisha;Silva;Japan;Junior Suite;10;low;19980;141
Santiago;Silva;Sweden;Standard Double;8;high;13480;142
Chen;Kim;United States;LOFT Suite;8;low;24816;143
Aisha;Nguyen;China;Spa Executive;6;low;14874;144
Muhammad;Yamamoto;Italy;Standard Double;2;mid;3208;145
Isabella;Lee;Italy;Standard Single;2;low;2144;146
Isabella;Rossi;Canada;Grand Lit;1;mid;1391;147
Liam;Dubois;China;Junior Suite;7;low;13293;148
Chen;Smith;Australia;Spa Executive;2;low;4364;149
Chen;Nguyen;Vietnam;Spa Executive;1;high;2606;150
Liam;Olsen;Mexico;Standard Double;6;low;7782;151
Carlos;Silva;Brazil;Superior Double;3;low;5100;152
Elena;Kim;South Korea;Suite;8;low;21296;153
Aisha;Johansson;India;LOFT Suite;3;mid;9867;154
Fatima;Hassan;Egypt;Suite;5;mid;15415;155
Muhammad;Silva;Australia;Spa Executive;10;high;26210;156
John;Rossi;Italy;LOFT Suite;2;low;6830;157
John;Hassan;United States;Grand Lit;1;low;1122;158
Aisha;Kim;China;Suite;9;high;28359;159
Isabella;Smith;Vietnam;Suite;3;mid;8454;160
Elena;Smith;South Korea;Spa Executive;8;low;16776;161
Elena;Kim;Brazil;Spa Executive;8;low;19424;162
Liam;Rossi;Sweden;Superior Double;7;high;14140;163
John;Khan;China;Junior Suite;6;high;13434;164
Liam;Yamamoto;Nigeria;Standard Single;5;low;5825;165
Isabella;Müller;Russia;Spa Executive;3;high;7614;166
Aisha;Rossi;Spain;Standard Single;3;low;3087;167
Muhammad;Sato;Egypt;Standard Single;8;mid;9792;168
